"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
3755,"cystinuria","An amino acid metabolic disorder that involves the formation of cystine stones in the kidneys, ureter, and bladder.","An autosomal disorder characterized by impaired epithelial cell transport of cystine and dibasic amino acids (lysine, ornithine, and arginine) in the proximal renal tubule and gastrointestinal tract. The impaired renal reabsorption of cystine and its low solubility causes the formation of calculi in the urinary tract, resulting in obstructive uropathy, pyelonephritis, and, rarely, renal failure.",3,3,"MONDO:0009067"
3756,"cystinuria type B",,,2,2,"MONDO:0019746"
3757,"Cystinuria, Type A",,,2,2,
3758,"Cystinuria, Type A-B",,,2,2,
3759,"cystitis","A bladder disease that is characterized by inflammation of the bladder.",,2314,4,"MONDO:0006032"
3760,"cystoid macular edema",,,1,1,"MONDO:0007935"
3761,"Cysts",,,2,2,
3762,"cytochrome-c oxidase deficiency disease",,"A disorder of the mitochondrial respiratory chain with heterogeneous clinical manifestations, ranging from isolated myopathy to severe multisystem disease affecting several tissues and organs. Features include hypertrophic cardiomyopathy, hepatomegaly and liver dysfunction, hypotonia, muscle weakness, exercise intolerance, developmental delay, delayed motor development and mental retardation. Some affected individuals manifest a fatal hypertrophic cardiomyopathy resulting in neonatal death. A subset of patients manifest Leigh syndrome.",24,23,"MONDO:0009068"
3763,"cytomegalic inclusion disease",,,1,1,
3764,"cytomegalovirus infection",,,2,2,"MONDO:0005132"
3765,"Cytopenia",,,207,207,
3766,"Cytotoxic Brain Edema",,,7,7,
3767,"Cytotoxic Cerebral Edema",,,7,7,
3768,"Czech dysplasia, metatarsal type",,"A skeletal dysplasia characterized by early-onset, progressive pseudorheumatoid arthritis, platyspondyly, and short third and fourth toes.",1,1,"MONDO:0012206"
3769,"D-2-hydroxyglutaric aciduria","An 2-hydroxyglutaric aciduria that involves developmental delay, seizures, weak muscle tone (hypotonia), and abnormalities in the largest part of the brain (the cerebrum), which controls many important functions such as muscle movement, speech, vision, thinking, emotion, and memory.",,2,2,"MONDO:0010924"
3770,"D-2-hydroxyglutaric aciduria 1",,"A rare recessive neurometabolic disorder causing developmental delay, epilepsy, hypotonia, and dysmorphic features. Both a mild and a severe phenotype exist. The severe phenotype is homogeneous and is characterized by early infantile-onset epileptic encephalopathy and cardiomyopathy. The mild phenotype has a more variable clinical presentation. Diagnosis is based on the presence of an excess of D-2-hydroxyglutaric acid in the urine.",2,2,"MONDO:0024554"
3771,"d-2-hydroxyglutaric aciduria 2",,"A neurometabolic disorder causing developmental delay, epilepsy, hypotonia, and dysmorphic features. Both a mild and a severe phenotype exist. The severe phenotype is homogeneous and is characterized by early infantile-onset epileptic encephalopathy and cardiomyopathy. The mild phenotype has a more variable clinical presentation. Diagnosis is based on the presence of an excess of D-2-hydroxyglutaric acid in the urine.",1,1,"MONDO:0013345"
3772,"d-bifunctional protein deficiency","A peroxisomal disease characterized by, in severe cases, infantile-onset of hypotonia, seizures, and abnormal facial features with most dieing before age 2 years that has_material_basis_in homozygous or compound heterozygous mutation in the HSD17B4 gene on chromosome 5q2.","Disorder of peroxisomal fatty acid beta-oxidation.",2,2,"MONDO:0009855"
3773,"D-glyceric aciduria",,"A rare metabolic disease characterized by chronic metabolic acidosis and a highly variable clinical phenotype. Clinical features range from an encephalopathic presentation with seizures, microcephaly, severe mental retardation and early death, to milder manifestations with only speech delay or even normal development.",1,1,"MONDO:0009070"
3774,"D,L-2-hydroxyglutaric aciduria",,"An autosomal recessive neurometabolic disorder characterized by neonatal-onset encephalopathy with severe muscular weakness, intractable seizures, respiratory distress, and lack of psychomotor development resulting in early death. Brain imaging shows abnormalities including enlarged ventricles, delayed myelination, and germinal layer cysts.",1,1,"MONDO:0014072"
3775,"dacryocystitis","An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal sac, has_symptom conjunctivitis and has_symptom purulent discharge.",,4,4,"MONDO:0004926"
3776,"Dandy-Walker syndrome","A cerebellar disease that is characterized by hypoplasia and upward rotation of the cerebellar vermis and cystic dilation of the fourth ventricle.",,3,3,"MONDO:0009072"
3777,"Dandy-Walker Syndrome, Familial",,,1,1,
3778,"Danon disease","A lysosomal storage disease that is characterized by cardiomyopathy, skeletal myopathy and intellectual disability and has_material_basis_in mutations in the LAMP2 gene.","DAND is a lysosomal glycogen storage disease characterized by the clinical triad of cardiomyopathy, vacuolar myopathy and mental retardation. It is often associated with an accumulation of glycogen in muscle and lysosomes.",1,1,"MONDO:0010281"
3779,"Darier disease",,"A skin disorder characterized by warty papules and plaques in seborrheic areas (central trunk, flexures, scalp and forehead), palmoplantar pits and distinctive nail abnormalities. It is due to loss of adhesion between epidermal cells (acantholysis) and abnormal keratinization. Patients with mild disease may have no more than a few scattered keratotic papules or subtle nail changes, whereas those with severe disease are handicapped by widespread malodorous keratotic plaques. Some patients present with hemorrhage into acantholytic vesicles on the palms and dorsal aspects of the fingers which gives rise to black macules. In a few families affected by Darier disease, neuropsychiatric abnormalities such as mild mental retardation, schizophrenia, bipolar disorder and epilepsy have been reported. Stress, UV exposure, heat, sweat, friction and oral contraception exacerbate disease symptoms. Clinical variants of Darier disease include hypertrophic, vesicobullous, hypopigmented, cornifying, zosteriform or linear, acute and comedonal subtypes. Comedonal Darier disease is characterized by the coexistence of acne-like comedonal lesions with typical Darier hyperkeratotic papules on light-exposed areas. At histopathologic level, comedonal Darier disease differs from classic Darier disease in the prominent follicular involvement and the presence of greatly elongated dermal villi.",1,1,"MONDO:0007417"
3780,"Darier Disease, Acral Hemorrhagic Type",,,1,1,
3781,"Darier Disease, Segmental",,,1,1,
3782,"Darkness Tremor",,,9,9,
3783,"DDOST-CDG",,"A form of congenital disorder of glycosylation, a multisystem disorder caused by a defect in glycoprotein biosynthesis and characterized by under-glycosylated serum glycoproteins. Congenital disorders of glycosylation result in a wide variety of clinical features, such as defects in the nervous system development, psychomotor retardation, dysmorphic features, hypotonia, coagulation disorders, and immunodeficiency. The broad spectrum of features reflects the critical role of N-glycoproteins during embryonic development, differentiation, and maintenance of cell functions.",1,1,"MONDO:0013789"
3784,"DDX41-related hematologic malignancy predisposition syndrome",,"A familial cancer predisposition syndrome with incomplete penetrance, characterized by increased susceptibility to myeloid neoplasms and rarely to lymphoid malignancies. MPLPF inheritance is autosomal dominant.",1,1,"MONDO:0014809"
3785,"de Barsy syndrome",,,2,1,"MONDO:0017569"
3786,"de Sanctis-Cacchione syndrome",,"An autosomal recessive syndrome consisting of xeroderma pigmentosum associated with severe neurological and developmental involvement. In addition to the clinical signs of xeroderma pigmentosum, patients present with mental retardation, dwarfism, gonadal hypoplasia, microcephaly and various neurologic complications of early onset.",2,2,"MONDO:0010217"
3787,"De Toni-Debre-Fanconi Syndrome",,,4,4,
3788,"De Vaal's syndrome",,,1,1,
3789,"deaf blind hypopigmentation syndrome, Yemenite type",,,1,1,"MONDO:0011133"
3790,"Deaf Mutism",,,19,19,
3791,"Deafness",,,20,20,
3792,"DEAFNESS AND MYOPIA",,,1,1,
3793,"deafness dystonia syndrome","A mitochondrial metabolism disease that is characterized by hearing loss that begins early in life, problems with movement, impaired vision, and behavior problems, and has_material_basis_in mutations in the TIMM8A gene resulting in abnormal protein transport within the mitochondria.","An X-linked recessive disorder characterized by postlingual sensorineural deafness with onset in early childhood, dystonia, spasticity, dysphagia, mental deterioration, paranoia and cortical blindness.",2,2,"MONDO:0010578"
3794,"Deafness enamel hypoplasia nail defects",,,3,3,
3795,"deafness with labyrinthine aplasia, microtia, and microdontia",,"Unique autosomal recessive syndrome characterized by type I microtia, microdontia, and profound congenital deafness associated with a complete absence of inner ear structures (Michel aplasia).",1,1,"MONDO:0012541"
3796,"deafness-encephaloneuropathy-obesity-valvulopathy syndrome","A primary coenzyme Q10 deficiency that has_material_basis_in an autosomal recessive mutation of PDSS1 on chromosome 10p12.1.","An autosomal recessive multisystem disorder characterized by early-onset deafness, optic atrophy, mild mental retardation, peripheral neuropathy, obesity, livedo reticularis, and cardiac valvulopathy.",1,1,"MONDO:0013837"
3797,"deafness-infertility syndrome",,"Characterized by deafness and infertility and is caused by large contiguous gene deletions at 15q15.3 that removes both STRC and CATSPER2 genes.",2,2,"MONDO:0012621"
3798,"deafness-intellectual disability, Martin-Probst type syndrome",,"A rare neurodevelopmental disorder characterized by mental retardation, sensorineural hearing loss, short stature and craniofacial dysmorphisms. Patients also exhibit abnormal teeth, widely spaced nipples, abnormal dermatoglyphics, renal insufficiency, and impaired haematopoiesis. Mental retardation is defined as significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period.",1,1,"MONDO:0010353"
3799,"deafness-lymphedema-leukemia syndrome",,"A chronic disabling condition characterized by swelling of the extremities due to altered lymphatic flow, associated with myelodysplasia. Patients with lymphedema suffer from recurrent local infections, and physical impairment.",1,1,"MONDO:0013540"
3800,"Deafness, Acquired",,,19,19,
3801,"DEAFNESS, AUTOSOMAL DOMINANT 17",,,1,1,
3802,"DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY",,,1,1,
3803,"deafness, autosomal dominant 34, with or without inflammation",,"A form of sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. DFNA34 is a postlingual, slowly progressive form with variable severity and variable additional features. Some DFNA34 patients have autoinflammatory manifestations.",1,1,"MONDO:0033261"
3804,"deafness, autosomal dominant 39, with dentinogenesis imperfecta 1",,"A disorder characterized by the association of progressive sensorineural high-frequency hearing loss with dentinogenesis imperfecta.",1,1,"MONDO:0011571"
3805,"deafness, autosomal dominant 71",,"A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. DFNA71 is characterized by bilateral mild to moderate hearing loss before age 20 years, which gradually progresses to severe to profound hearing loss.",1,1,"MONDO:0033258"
3806,"deafness, autosomal dominant 72",,"A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. DFNA72 primarily affects the middle frequencies. It gradually progresses to whole-frequency hearing loss.",1,1,"MONDO:0033259"
